Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2011,11528000.0,50627000.0,4391.7
Cambodia,2011,2968529.0,8779000.0,2957.4
China,2011,30592655.0,204548773.05,6686.2
"China, Hong Kong SAR",2011,0.0,0.05,2000.4
"China, Taiwan Province of",2011,254255.0,1666273.0,6553.6
"China, mainland",2011,30338400.0,202882500.0,6687.3
India,2011,44010000.0,157900000.0,3587.8
Indonesia,2011,11653000.0,58259000.0,4999.5
Myanmar,2011,7567000.0,29010000.0,3833.8
Pakistan,2011,2571200.0,9240600.0,3593.9
Philippines,2011,4536642.0,16684062.0,3677.6
Thailand,2011,11956638.0,38102720.0,3186.7
Viet Nam,2011,7655440.0,42398344.0,5538.3
Bangladesh,2012,11423000.0,50497000.0,4420.6
Cambodia,2012,3007545.0,9290940.0,3089.2
China,2012,30736763.0,208232529.05,6774.7
"China, Hong Kong SAR",2012,0.0,0.05,2000.4
"China, Taiwan Province of",2012,260763.0,1700229.0,6520.2
"China, mainland",2012,30476000.0,206532300.0,6776.9
India,2012,42754000.0,157800000.0,3690.9
Indonesia,2012,11591000.0,59705000.0,5151.0
Myanmar,2012,6988800.0,26637800.0,3811.5
Pakistan,2012,2308800.0,8303850.0,3596.6
Philippines,2012,4690061.0,18032525.47,3844.8
Thailand,2012,11956781.0,38100189.0,3186.5
Viet Nam,2012,7761314.0,43737598.0,5635.3
Bangladesh,2013,11372000.0,51534000.0,4531.7
Cambodia,2013,2969000.0,9390000.0,3162.7
China,2013,30979865.0,207875104.05,6710.0
"China, Hong Kong SAR",2013,0.0,0.05,2000.4
"China, Taiwan Province of",2013,270165.0,1589504.0,5883.5
"China, mainland",2013,30709700.0,206285600.0,6717.3
India,2013,44135950.0,159960000.0,3624.3
Indonesia,2013,11631000.0,60095000.0,5166.8
Myanmar,2013,6952900.0,26795300.0,3853.8
Pakistan,2013,2789169.0,10467150.0,3752.8
Philippines,2013,4746091.0,18439419.73,3885.2
Thailand,2013,11684315.0,36762277.0,3146.3
Viet Nam,2013,7902813.0,44039100.0,5572.6
Bangladesh,2014,11415642.0,51806593.0,4538.2
Cambodia,2014,3029000.0,9324000.0,3078.2
China,2014,31036151.0,211341310.05,6809.5
"China, Hong Kong SAR",2014,0.0,0.05,2030.6
"China, Taiwan Province of",2014,271051.0,1732210.0,6390.7
"China, mainland",2014,30765100.0,209609100.0,6813.2
India,2014,44110000.0,158214000.0,3586.8
Indonesia,2014,11473000.0,59059000.0,5147.7
Myanmar,2014,6869400.0,26848100.0,3908.4
Pakistan,2014,2890646.0,10504200.0,3633.9
Philippines,2014,4739672.0,18967826.17,4001.9
Thailand,2014,10664923.0,32620160.0,3058.6
Viet Nam,2014,7816476.0,44974206.0,5753.8
Bangladesh,2015,11381221.0,51805464.0,4551.8
Cambodia,2015,3026000.0,9335000.0,3084.9
China,2015,31035861.0,213723732.05,6886.3
"China, Hong Kong SAR",2015,0.0,0.05,2079.4
"China, Taiwan Province of",2015,251861.0,1581732.0,6280.2
"China, mainland",2015,30784000.0,212142000.0,6891.3
India,2015,43499200.0,156604000.0,3600.2
Indonesia,2015,11389000.0,61031000.0,5358.8
Myanmar,2015,6769500.0,26630700.0,3933.9
Pakistan,2015,2739495.0,10201840.0,3724.0
Philippines,2015,4656227.0,18149837.78,3898.0
Thailand,2015,9717975.0,27702191.0,2850.6
Viet Nam,2015,7828607.0,45090561.89,5759.7
Bangladesh,2016,11000809.0,50452866.0,4586.3
Cambodia,2016,3100000.0,9952000.0,3210.3
China,2016,31019837.0,212681776.05,6856.3
"China, Hong Kong SAR",2016,0.0,0.05,2095.7
"China, Taiwan Province of",2016,273837.0,1587776.0,5798.3
"China, mainland",2016,30746000.0,211094000.0,6865.7
India,2016,43993400.0,164539000.0,3740.1
Indonesia,2016,10600000.0,54031000.0,5097.3
Myanmar,2016,6724000.0,26085100.0,3879.4
Pakistan,2016,2724013.0,10273968.0,3771.6
Philippines,2016,4556043.0,17627245.0,3869.0
Thailand,2016,10712000.0,31857000.0,2974.0
Viet Nam,2016,7734722.0,43112009.81,5573.8
Bangladesh,2017,11615000.0,54148000.0,4661.9
Cambodia,2017,3190000.0,10518000.0,3297.2
China,2017,31021867.0,214429949.05,6912.2
"China, Hong Kong SAR",2017,0.0,0.05,2101.1
"China, Taiwan Province of",2017,274677.0,1754049.0,6385.9
"China, mainland",2017,30747190.0,212675900.0,6916.9
India,2017,43774000.0,169128000.0,3863.7
Indonesia,2017,10900000.0,55252000.0,5069.0
Myanmar,2017,6745500.0,26035800.0,3859.7
Pakistan,2017,2900595.0,11174815.5,3852.6
Philippines,2017,4811808.0,19276346.63,4006.1
Thailand,2017,10719698.0,32898903.0,3069.0
Viet Nam,2017,7708534.0,42763682.38,5547.6
Bangladesh,2018,11515000.0,54416000.0,4725.7
Cambodia,2018,3248000.0,10892000.0,3353.4
China,2018,30460956.0,214078796.05,7028.0
"China, Hong Kong SAR",2018,0.0,0.05,2109.0
"China, Taiwan Province of",2018,271506.0,1949796.0,7181.4
"China, mainland",2018,30189450.0,212129000.0,7026.6
India,2018,44156000.0,174711000.0,3956.7
Indonesia,2018,11377934.0,59200534.0,5203.1
Myanmar,2018,7149300.0,28016100.0,3918.7
Pakistan,2018,2810030.0,10798000.0,3842.7
Philippines,2018,4800406.0,19066093.94,3971.8
Thailand,2018,10647941.0,32348114.0,3038.0
Viet Nam,2018,7570741.0,44046249.56,5818.0
Bangladesh,2019,11515545.0,54586344.0,4740.2
Cambodia,2019,3264000.0,10885700.0,3335.1
China,2019,29960066.0,211405211.05,7056.2
"China, Hong Kong SAR",2019,0.0,0.05,2102.4
"China, Taiwan Province of",2019,270066.0,1791211.0,6632.5
"China, mainland",2019,29690000.0,209614000.0,7060.1
India,2019,43662000.0,178296000.0,4083.6
Indonesia,2019,10677887.0,54604033.0,5113.7
Myanmar,2019,6921000.0,26691400.0,3856.6
Pakistan,2019,3033959.0,11120483.0,3665.3
Philippines,2019,4651490.0,18814827.29,4044.9
Thailand,2019,9812614.0,28617948.0,2916.4
Viet Nam,2019,7451544.0,43495487.58,5837.1
Bangladesh,2020,11417745.0,54905891.0,4808.8
Cambodia,2020,3269000.0,10936000.0,3345.4
China,2020,30341784.0,213610729.06,7040.2
"China, Hong Kong SAR",2020,0.0,0.06,2115.8
"China, Taiwan Province of",2020,261784.0,1750729.0,6687.7
"China, mainland",2020,30080000.0,211860000.0,7043.2
India,2020,45769000.0,186543000.0,4075.7
Indonesia,2020,10657275.0,54649202.24,5127.9
Myanmar,2020,6830000.0,26399600.0,3865.2
Pakistan,2020,3335585.0,12629514.0,3786.3
Philippines,2020,4718896.0,19294855.51,4088.8
Thailand,2020,10944149.0,31734268.0,2899.7
Viet Nam,2020,7222403.0,42764999.76,5921.2
Bangladesh,2021,11700939.0,56383442.0,4818.7
Cambodia,2021,3498000.0,12207000.0,3489.7
China,2021,30145222.0,214403870.05,7112.4
"China, Hong Kong SAR",2021,0.0,0.05,2039.9
"China, Taiwan Province of",2021,224022.0,1560870.0,6967.5
"China, mainland",2021,29921200.0,212843000.0,7113.5
India,2021,46279000.0,194198000.0,4196.2
Indonesia,2021,10411801.0,54415294.22,5226.3
Myanmar,2021,7043300.0,27438300.0,3895.7
Pakistan,2021,3537369.0,13984009.0,3953.2
Philippines,2021,4805077.0,19960170.2,4154.0
Thailand,2021,11164655.0,32977775.0,2953.8
Viet Nam,2021,7219797.0,43852728.69,6074.0
Bangladesh,2022,11692365.0,57189193.0,4891.2
