Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2004,169178.0,1060083.0,6266.1,6266.080696071593
Bolivia (Plurinational State of),2004,152193.0,331336.0,2177.1,2177.077789385846
Brazil,2004,3733148.0,13277008.0,3556.5,3556.5179842856483
Chile,2004,24900.0,119265.0,4789.8,4789.759036144578
Colombia,2004,519736.0,2496720.0,4803.8,4803.823479612727
Ecuador,2004,421548.0,1778380.0,4218.7,4218.689212141915
Guyana,2004,115700.0,500911.0,4329.4,4329.394987035436
Paraguay,2004,31000.0,125000.0,4032.3,4032.258064516129
Peru,2004,286468.0,1844896.0,6440.1,6440.146892497592
Suriname,2004,49020.0,174490.0,3559.6,3559.5675234598125
Uruguay,2004,186465.0,1262600.0,6771.2,6771.243933177808
Venezuela (Bolivarian Republic of),2004,198780.0,974091.0,4900.3,4900.34711741624
Argentina,2005,158938.0,956253.0,6016.5,6016.515874114434
Bolivia (Plurinational State of),2005,188382.0,479246.0,2544.0,2544.011635931246
Brazil,2005,3915855.0,13192863.0,3369.1,3369.0887430714365
Chile,2005,25030.0,116832.0,4667.7,4667.67878545745
Colombia,2005,456005.0,2206512.0,4838.8,4838.789048365697
Ecuador,2005,377300.0,1471064.0,3898.9,3898.9239332096477
Guyana,2005,106700.0,420365.0,3939.7,3939.6907216494847
Paraguay,2005,33500.0,102000.0,3044.8,3044.776119402985
Peru,2005,357883.0,2468357.0,6897.1,6897.106037447993
Suriname,2005,45563.0,163955.0,3598.4,3598.424159954349
Uruguay,2005,184000.0,1214500.0,6600.5,6600.543478260869
Venezuela (Bolivarian Republic of),2005,215979.0,1004518.0,4651.0,4650.998476703753
Argentina,2006,169025.0,1193492.0,7061.0,7061.038307942612
Bolivia (Plurinational State of),2006,168399.0,446462.0,2651.2,2651.215268499219
Brazil,2006,2970918.0,11526685.0,3879.8,3879.8394974213356
Chile,2006,27980.0,160315.0,5729.6,5729.628305932809
Colombia,2006,429911.0,1965414.0,4571.7,4571.676463267979
Ecuador,2006,357558.0,1501238.0,4198.6,4198.585963675823
Guyana,2006,102100.0,472363.0,4626.5,4626.474045053869
Paraguay,2006,42000.0,126000.0,3000.0,3000.0
Peru,2006,343691.0,2362260.0,6873.2,6873.208783471199
Suriname,2006,44232.0,182659.0,4129.6,4129.566829444746
Uruguay,2006,177300.0,1292400.0,7289.3,7289.340101522843
Venezuela (Bolivarian Republic of),2006,226829.0,1122870.0,4950.3,4950.292951959405
Argentina,2007,164635.0,1080070.0,6560.4,6560.391168342089
Bolivia (Plurinational State of),2007,170005.0,352104.0,2071.1,2071.1390841445836
Brazil,2007,2890926.0,11060741.0,3826.0,3826.020105668564
Chile,2007,21765.0,110268.0,5066.3,5066.299104066161
Colombia,2007,431898.0,2117165.0,4902.0,4902.002324622943
Ecuador,2007,398151.0,1734135.0,4355.5,4355.470663140366
Guyana,2007,105900.0,458653.0,4331.0,4331.000944287063
Paraguay,2007,42000.0,130000.0,3095.2,3095.2380952380954
Peru,2007,337639.0,2256000.0,6681.7,6681.69257698311
Suriname,2007,42087.0,179012.0,4253.4,4253.379903533158
Uruguay,2007,145400.0,1145700.0,7879.6,7879.642365887208
Venezuela (Bolivarian Republic of),2007,208825.0,1054857.0,5051.4,5051.392314138633
Argentina,2008,182460.0,1245800.0,6827.8,6827.797873506522
Bolivia (Plurinational State of),2008,155401.0,337800.0,2173.7,2173.731185771005
Brazil,2008,2850678.0,12061465.0,4231.1,4231.086429263494
Chile,2008,20960.0,121400.0,5792.0,5791.984732824427
Colombia,2008,493554.0,2412852.0,4888.7,4888.729500723324
Ecuador,2008,354841.0,1442052.0,4063.9,4063.938496396978
Guyana,2008,119800.0,507036.0,4232.4,4232.353923205343
Paraguay,2008,33870.0,144692.0,4272.0,4271.981104222025
Peru,2008,379783.0,2775800.0,7308.9,7308.91061474579
Suriname,2008,43654.0,182877.0,4189.2,4189.238099601411
Uruguay,2008,168377.0,1330000.0,7898.9,7898.941066772778
Venezuela (Bolivarian Republic of),2008,216437.0,1092268.0,5046.6,5046.586304559756
Argentina,2009,193800.0,1334155.0,6884.2,6884.184726522188
Bolivia (Plurinational State of),2009,186804.0,410994.0,2200.1,2200.13490075159
Brazil,2009,2872036.0,12651144.0,4404.9,4404.939213853865
Chile,2009,23680.0,127311.0,5376.3,5376.309121621622
Colombia,2009,528138.0,2479921.0,4695.6,4695.592818543639
Ecuador,2009,394813.0,1579406.0,4000.4,4000.3900580781283
Guyana,2009,124800.0,553522.0,4435.3,4435.272435897436
Paraguay,2009,50000.0,215000.0,4300.0,4300.0
Peru,2009,404614.0,2991157.0,7392.6,7392.618643942128
Suriname,2009,54492.0,229370.0,4209.2,4209.2417235557505
Uruguay,2009,160700.0,1287200.0,8010.0,8009.956440572495
Venezuela (Bolivarian Republic of),2009,229617.0,1100511.0,4792.8,4792.811507858739
Argentina,2010,215670.0,1243259.0,5764.6,5764.635786154773
Bolivia (Plurinational State of),2010,194237.0,442017.0,2275.7,2275.658087799956
Brazil,2010,2722459.0,11235986.0,4127.1,4127.146083742676
Chile,2010,24527.0,94672.5,3859.9,3859.9298732009624
Colombia,2010,482297.0,1988191.0,4122.3,4122.337480846864
Ecuador,2010,393100.0,1369100.0,3482.8,3482.828796743831
Guyana,2010,131400.0,556193.0,4232.8,4232.823439878234
Paraguay,2010,59476.0,315213.0,5299.8,5299.835227654852
Peru,2010,388659.0,2831374.0,7285.0,7284.982465348801
Suriname,2010,53553.0,226686.0,4232.9,4232.9281272757835
Uruguay,2010,161900.0,1148738.0,7095.4,7095.355157504632
Venezuela (Bolivarian Republic of),2010,180455.0,899584.0,4985.1,4985.087694993212
Argentina,2011,257445.0,1748075.0,6790.1,6790.09108741673
Bolivia (Plurinational State of),2011,178273.0,428007.0,2400.9,2400.8515030318667
Brazil,2011,2752891.0,13476994.0,4895.6,4895.578502744932
Chile,2011,25121.0,130375.0,5189.9,5189.880976075793
Colombia,2011,507709.0,2009945.0,3958.9,3958.8524134888294
Ecuador,2011,330000.0,1185900.0,3593.6,3593.636363636364
Guyana,2011,140400.0,619198.0,4410.2,4410.242165242165
Paraguay,2011,78606.0,408246.0,5193.6,5193.573009693917
Peru,2011,359612.0,2624458.0,7298.0,7298.026762177014
Suriname,2011,56930.0,235298.0,4133.1,4133.11083787107
Uruguay,2011,196000.0,1643000.0,8382.7,8382.65306122449
Venezuela (Bolivarian Republic of),2011,189541.0,1018258.0,5372.2,5372.23081022048
Argentina,2012,235372.0,1567971.0,6661.7,6661.6717366551675
Bolivia (Plurinational State of),2012,157502.0,474664.2,3013.7,3013.7026831405315
Brazil,2012,2413288.0,11549881.0,4786.0,4785.9521946821105
Chile,2012,23991.0,149788.0,6243.5,6243.507982159977
Colombia,2012,481500.0,1945400.0,4040.3,4040.290758047767
Ecuador,2012,371200.0,1256200.0,3384.2,3384.1594827586205
Guyana,2012,143400.0,649320.0,4528.0,4528.033472803348
Paraguay,2012,80000.0,396000.0,4950.0,4950.0
Peru,2012,390919.0,3043330.45,7785.1,7785.066599474571
Suriname,2012,51379.0,224127.0,4362.2,4362.229704743183
Uruguay,2012,181371.0,1424000.0,7851.3,7851.310297677137
Venezuela (Bolivarian Republic of),2012,209493.0,1045878.0,4992.4,4992.424567885323
Argentina,2013,232700.0,1563450.0,6718.7,6718.736570691877
Bolivia (Plurinational State of),2013,166299.0,442911.67,2663.3,2663.34535986386
Brazil,2013,2353152.0,11782549.0,5007.1,5007.134685732159
Chile,2013,21000.0,130307.0,6205.1,6205.095238095238
Colombia,2013,531700.0,2044300.0,3844.8,3844.837314274967
Ecuador,2013,396800.0,1216300.0,3065.3,3065.272177419355
Guyana,2013,164800.0,823930.0,4999.6,4999.575242718446
Paraguay,2013,98000.0,617400.0,6300.0,6300.0
Peru,2013,395651.0,3050934.0,7711.2,7711.174747441558
Suriname,2013,58274.0,262029.0,4496.5,4496.499296427223
Uruguay,2013,172500.0,1359500.0,7881.2,7881.159420289855
Venezuela (Bolivarian Republic of),2013,214930.0,1084012.0,5043.6,5043.558367840692
Argentina,2014,243200.0,1581810.0,6504.2,6504.152960526316
Bolivia (Plurinational State of),2014,174925.0,484057.0,2767.2,2767.225953980277
Brazil,2014,2340878.0,12175602.0,5201.3,5201.2971201403925
Chile,2014,22398.0,134884.0,6022.1,6022.1448343602115
Colombia,2014,461300.0,1853500.0,4018.0,4017.9926295252544
Ecuador,2014,354100.0,1107300.0,3127.1,3127.0827449872913
Guyana,2014,185400.0,977300.0,5271.3,5271.305285868393
Paraguay,2014,120000.0,804000.0,6700.0,6700.0
Peru,2014,381368.0,2896613.0,7595.3,7595.322628012837
Suriname,2014,62211.0,275851.0,4434.1,4434.119367957435
Uruguay,2014,167400.0,1348300.0,8054.4,8054.360812425328
Venezuela (Bolivarian Republic of),2014,226597.0,1158056.0,5110.6,5110.641358888246
Argentina,2015,232590.0,1558100.0,6698.9,6698.912249021884
Bolivia (Plurinational State of),2015,166357.0,527341.0,3169.9,3169.935740606046
Brazil,2015,2138397.0,12301201.0,5752.5,5752.53379049821
Chile,2015,23714.0,163559.6,6897.2,6897.174664754997
